2020-10-22 14:38:27.792  INFO 163048 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=text, profiles=[dev], label=trunk, version=173, state=null
2020-10-22 14:38:27.793  INFO 163048 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-svn://zlyfs.synology.me/CorrectionSYS/configData//trunk/text-dev.yml'}]
2020-10-22 14:38:27.838  INFO 163048 --- [main] com.nmefc.correctionsys.Application      : No active profile set, falling back to default profiles: default
2020-10-22 14:38:29.800  WARN 163048 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-10-22 14:38:30.104  INFO 163048 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d3d65ac3-4be9-3797-9902-043a602c92a2
2020-10-22 14:38:30.864  INFO 163048 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8001 (http)
2020-10-22 14:38:30.877  INFO 163048 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-10-22 14:38:30.877  INFO 163048 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-22 14:38:31.254  INFO 163048 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-10-22 14:38:31.254  INFO 163048 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3389 ms
2020-10-22 14:38:31.411  WARN 163048 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-10-22 14:38:31.412  INFO 163048 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-22 14:38:31.424  INFO 163048 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@5ec6fede
2020-10-22 14:38:31.555  INFO 163048 --- [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure : Init DruidDataSource
2020-10-22 14:38:31.891  INFO 163048 --- [main] com.alibaba.druid.pool.DruidDataSource   : {dataSource-1} inited
2020-10-22 14:38:33.031  INFO 163048 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2020-10-22 14:38:33.557  WARN 163048 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-10-22 14:38:33.557  INFO 163048 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-22 14:38:33.754  INFO 163048 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-10-22 14:38:34.918  INFO 163048 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService
2020-10-22 14:38:35.002  INFO 163048 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2020-10-22 14:38:35.777  WARN 163048 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-10-22 14:38:35.820  INFO 163048 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 19 endpoint(s) beneath base path '/actuator'
2020-10-22 14:38:35.888  INFO 163048 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-10-22 14:38:35.952  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-10-22 14:38:36.033  INFO 163048 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-10-22 14:38:36.033  INFO 163048 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-10-22 14:38:36.187  INFO 163048 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-10-22 14:38:36.188  INFO 163048 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-10-22 14:38:36.478  INFO 163048 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-10-22 14:38:36.971  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-10-22 14:38:36.971  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-10-22 14:38:36.971  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-10-22 14:38:36.972  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-10-22 14:38:36.972  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-10-22 14:38:36.972  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-10-22 14:38:36.972  INFO 163048 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
